X1,GEO.id2,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,GEO.display.label,Median_house_value,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Built_2005_or_later,Built_2000_to_2004,Built_1990s,Built_1980s,Built_1970s,Built_1960s,Built_1950s,Built_1940s,Built_1939_or_earlier,Bedrooms_0,Bedrooms_1,Bedrooms_2,Bedrooms_3,Bedrooms_4,Bedrooms_5_or_more,Owners,Renters,Median_household_income,Mean_household_income
3014,6037571200,6,37,571200,7828,33.839984,-118.133618,"Census Tract 5712, Los Angeles County, California",627100,3175,164,5.6,2.85,2.3,2.5,1.5,1.3,4.9,5.8,9.1,29.8,33.4,11.7,3.7,25.1,16.3,36.5,14.7,3.7,53.9,46.1,76979,98529
5090,6067007102,6,67,7102,7195,38.678576,-121.526547,"Census Tract 71.02, Sacramento County, California",316800,3179,278,6,2.38,2.6,45.5,45.9,2.9,0,0.8,0,3.6,1.4,0,2.9,7.1,30.9,24.7,29.3,5.2,72.7,27.3,83882,89339
4004,6059042334,6,59,42334,5300,33.56206,-117.704721,"Census Tract 423.34, Orange County, California",539200,2265,107,4.5,2.38,2.82,0,1.2,25.5,49.4,22.3,0.6,0.4,0.6,0,0,17.7,37.4,31.2,12.4,1.4,69.2,30.8,68300,83392
1345,6037123203,6,37,123203,3765,34.195325,-118.390609,"Census Tract 1232.03, Los Angeles County, California",400000,1118,103,3.1,3.02,3.71,3,0,4.4,2.4,20.1,21.6,19.3,19.1,10.1,9.9,44.7,32.2,11.8,1.3,0,17.7,82.3,28459,42475
4918,6065046900,6,65,46900,2043,33.678092,-115.027293,"Census Tract 469, Riverside County, California",96400,1564,824,4.6,2.61,3.42,5.2,9.4,14.8,17.1,23.7,16,8.5,2.6,2.6,3.1,13.5,31.5,43.9,7,1,66.1,33.9,39464,51537
7979,6111007903,6,111,7903,4855,34.290719,-118.753523,"Census Tract 79.03, Ventura County, California",597600,1530,13,7.1,3,3.52,33.4,6.8,6.2,5.2,34.8,11.3,1,0.7,0.7,0,0,4.6,23.3,51.7,20.4,84.2,15.8,105893,119402
7540,6097151308,6,97,151308,4796,38.356178,-122.694153,"Census Tract 1513.08, Sonoma County, California",441700,2185,63,5.1,2.44,2.47,1.3,5.6,5.2,22.4,60,3.1,1,1.4,0,0.5,12.9,39.9,23.2,17.6,5.9,51.8,48.2,55052,66091
3355,6037900607,6,37,900607,3904,34.693377,-118.122924,"Census Tract 9006.07, Los Angeles County, California",180000,1279,100,5.8,3.36,3.75,0.6,0,0.6,27.7,25.5,13.8,26,5.7,0,0.8,9.6,26.3,46.1,15.6,1.6,43.4,56.6,34129,41488
3730,6053011304,6,53,11304,6688,36.209905,-121.130117,"Census Tract 113.04, Monterey County, California",169600,1506,186,5.4,5.2,5.65,6.3,20.3,28.1,13.9,10.2,4,7,4.1,6.2,0,6.6,16.9,40.4,32.2,3.9,55.7,44.3,55168,67546
5559,6071009118,6,71,9118,22862,34.487971,-117.395023,"Census Tract 91.18, San Bernardino County, California",173600,6157,621,7,3.51,4.32,33.8,32.2,25.6,2.7,3.4,1.9,0.5,0,0,0.2,0,1.8,29.1,46,23,77.1,22.9,65897,74121
355,6001451701,6,1,451701,3102,37.671642,-121.788228,"Census Tract 4517.01, Alameda County, California",463100,1051,41,6.1,2.94,3.42,0,0,0,0.7,3.4,76.2,18.4,0,1.3,0,0.9,1.5,74.6,17.9,5.1,72,28,84900,95364
2169,6037300902,6,37,300902,1998,34.152763,-118.21062,"Census Tract 3009.02, Los Angeles County, California",748300,732,3,6.4,2.85,2.36,5.2,2.9,0,2.2,3.8,8.6,20.5,24.3,32.5,0,4.9,30.9,35.8,24.6,3.8,93.6,6.4,112768,120231
1264,6037113233,6,37,113233,6655,34.226039,-118.601788,"Census Tract 1132.33, Los Angeles County, California",330000,2447,211,4.2,3.57,2.75,0,2.5,3.2,9.6,26.2,32.1,20.2,5.6,0.6,5.4,30.2,23.8,31.9,7,1.8,34.5,65.5,46383,55141
2915,6037551501,6,37,551501,4869,33.934301,-118.155793,"Census Tract 5515.01, Los Angeles County, California",451300,1508,95,4.4,3.23,3.06,0,0,8,20.2,21.5,11.8,24.9,10.9,2.8,6.2,11.5,47.5,24.3,9.3,1.3,55.6,44.4,63364,72671
4207,6059086303,6,59,86303,6212,33.815749,-117.889935,"Census Tract 863.03, Orange County, California",317400,2237,146,4.3,2.57,2.82,17.3,5.2,1.7,13.5,36.1,19.5,6.7,0,0,2.4,20.8,45.3,20.7,7.4,3.3,46.7,53.3,58896,64854
537,6013343003,6,13,343003,3843,37.883539,-122.03345,"Census Tract 3430.03, Contra Costa County, California",885300,1489,71,6.8,2.87,2.18,0,1.8,8.9,15.9,18.3,8.9,32.8,11.1,2.4,0,8,8.2,34.9,36.1,12.8,80.6,19.4,120250,181284
4662,6065042509,6,65,42509,3193,33.909054,-117.230859,"Census Tract 425.09, Riverside County, California",154400,867,157,5.8,3.5,3.29,0,0,0.9,68.1,26.2,1.4,2.3,0.7,0.5,0,0.5,26.8,31.3,41.5,0,85.9,14.1,45167,53323
2863,6037542601,6,37,542601,3016,33.905514,-118.22801,"Census Tract 5426.01, Los Angeles County, California",271500,661,19,4.3,5.29,4.15,2,0.6,4.7,21.3,3.3,9.2,32.1,11.8,15,10,8,45.2,23.8,7.4,5.6,29.4,70.6,45385,47341
